region,date,grocery_pharmacy,parks,residential,retail_recreation,transitstations,workplace
AC,2020-02-15,0.05,-0.02,0.01,0.02,0.05,0.05
AC,2020-02-16,0.03,0,0.02,-0.01,-0.12,-0.01
AC,2020-02-17,0.02,0,-0.02,-0.05,0.13,0.2
AC,2020-02-18,0.01,-0.02,-0.02,-0.01,0.02,0.19
AC,2020-02-19,-0.04,0,-0.02,-0.02,-0.01,0.19
AC,2020-02-20,0.02,0,-0.01,-0.02,0.03,0.2
AC,2020-02-21,0.07,0,-0.01,-0.06,0.12,0.19
AC,2020-02-22,0.12,0.16,-0.01,0.05,-0.02,0.01
AC,2020-02-23,0.09,0.33,-0.01,0.06,-0.29,-0.02
AC,2020-02-24,0,0.47,0.04,-0.02,-0.27,-0.34
AC,2020-02-25,-0.1,0.71,0.06,-0.2,-0.36,-0.52
AC,2020-02-26,-0.09,0.01,0.05,-0.14,-0.18,-0.24
AC,2020-02-27,-0.02,-0.13,0.01,-0.1,-0.07,0.17
AC,2020-02-28,0.02,-0.18,0,-0.08,-0.1,0.21
AC,2020-02-29,0.1,-0.12,0.02,0.01,-0.02,0.09
AC,2020-03-01,0.08,-0.16,0.04,-0.07,0.01,0
AC,2020-03-02,0.1,0.05,-0.04,0.04,0.07,0.27
AC,2020-03-03,0.08,-0.04,-0.02,0.02,0.01,0.23
AC,2020-03-04,0.05,0.05,-0.03,0.03,0.02,0.25
AC,2020-03-05,0.04,-0.01,-0.02,0.01,0.09,0.25
AC,2020-03-06,0.06,-0.1,-0.02,0.01,0.14,0.27
AC,2020-03-07,0.15,0.04,0,0.13,0.15,0.1
AC,2020-03-08,0.12,-0.03,0.01,0.15,0.04,0.07
AC,2020-03-09,0.06,0.02,-0.03,0.02,0.09,0.27
AC,2020-03-10,0.06,0.01,-0.04,0.08,0.11,0.26
AC,2020-03-11,0,0.02,-0.03,0.02,0.03,0.25
AC,2020-03-12,0.01,0.05,-0.02,0.01,0.07,0.26
AC,2020-03-13,-0.02,-0.19,-0.01,-0.12,0.05,0.25
AC,2020-03-14,0.08,-0.05,0,0,0.25,0.11
AC,2020-03-15,0.06,-0.11,0.02,-0.06,0.06,0.03
AC,2020-03-16,0.03,-0.09,-0.03,-0.09,0.06,0.25
AC,2020-03-17,0.2,-0.11,-0.01,-0.11,-0.06,0.17
AC,2020-03-18,0.04,-0.22,0.06,-0.26,-0.15,-0.05
AC,2020-03-19,-0.05,-0.26,0.09,-0.34,-0.27,-0.12
AC,2020-03-20,-0.12,-0.48,0.12,-0.48,-0.28,-0.18
AC,2020-03-21,-0.1,-0.55,0.12,-0.67,-0.41,-0.25
AC,2020-03-22,-0.26,-0.65,0.13,-0.77,-0.52,-0.29
AC,2020-03-23,-0.21,-0.48,0.17,-0.68,-0.64,-0.41
AC,2020-03-24,-0.22,-0.48,0.17,-0.67,-0.7,-0.47
AC,2020-03-25,-0.23,-0.48,0.17,-0.65,-0.67,-0.45
AC,2020-03-26,-0.25,-0.48,0.17,-0.63,-0.58,-0.43
AC,2020-03-27,-0.17,-0.51,0.17,-0.62,-0.59,-0.39
AC,2020-03-28,-0.18,-0.54,0.13,-0.64,-0.7,-0.29
AC,2020-03-29,-0.2,-0.56,0.11,-0.68,-0.75,-0.22
AC,2020-03-30,-0.22,-0.43,0.15,-0.56,-0.73,-0.35
AC,2020-03-31,-0.06,-0.38,0.12,-0.46,-0.48,-0.35
AC,2020-04-01,-0.11,-0.39,0.13,-0.51,-0.64,-0.35
AC,2020-04-02,-0.11,-0.4,0.13,-0.49,-0.68,-0.33
AC,2020-04-03,-0.13,-0.48,0.15,-0.57,-0.71,-0.33
AC,2020-04-04,-0.05,-0.52,0.1,-0.55,-0.7,-0.23
AC,2020-04-05,-0.2,-0.56,0.1,-0.67,-0.65,-0.23
AC,2020-04-06,-0.06,-0.34,0.11,-0.43,-0.7,-0.29
AC,2020-04-07,-0.01,-0.36,0.11,-0.4,-0.57,-0.31
AC,2020-04-08,0.01,-0.32,0.11,-0.42,-0.66,-0.3
AC,2020-04-09,0.05,-0.35,0.12,-0.44,-0.68,-0.38
AC,2020-04-10,-0.25,-0.55,0.2,-0.75,-0.78,-0.65
AC,2020-04-11,-0.07,-0.46,0.1,-0.55,-0.72,-0.27
AC,2020-04-12,-0.18,-0.52,0.08,-0.65,-0.67,-0.2
AC,2020-04-13,-0.13,-0.33,0.12,-0.46,-0.7,-0.27
AC,2020-04-14,-0.14,-0.32,0.12,-0.45,-0.64,-0.3
AC,2020-04-15,-0.21,-0.46,0.16,-0.54,-0.7,-0.35
AC,2020-04-16,-0.1,-0.39,0.14,-0.45,-0.67,-0.29
AC,2020-04-17,-0.11,-0.42,0.16,-0.51,-0.68,-0.27
AC,2020-04-18,-0.09,-0.44,0.1,-0.56,-0.69,-0.19
AC,2020-04-19,-0.17,-0.47,0.1,-0.66,-0.64,-0.18
AC,2020-04-20,-0.13,-0.33,0.13,-0.47,-0.67,-0.33
AC,2020-04-21,-0.26,-0.44,0.17,-0.65,-0.66,-0.57
AC,2020-04-22,-0.14,-0.35,0.13,-0.47,-0.66,-0.29
AC,2020-04-23,-0.14,-0.39,0.14,-0.5,-0.72,-0.28
AC,2020-04-24,-0.14,-0.46,0.14,-0.55,-0.67,-0.27
AC,2020-04-25,-0.1,-0.45,0.1,-0.57,-0.69,-0.19
AC,2020-04-26,-0.17,-0.52,0.1,-0.68,-0.69,-0.17
AC,2020-04-27,-0.08,-0.31,0.13,-0.46,-0.71,-0.24
AC,2020-04-28,-0.04,-0.3,0.08,-0.41,-0.58,-0.26
AC,2020-04-29,-0.03,-0.3,0.12,-0.43,-0.61,-0.25
AC,2020-04-30,0.07,-0.25,0.11,-0.36,-0.63,-0.25
AC,2020-05-01,-0.12,-0.52,0.19,-0.69,-0.72,-0.55
AC,2020-05-02,-0.06,-0.5,0.1,-0.54,-0.66,-0.19
AL,2020-02-15,0.03,0.01,0,0.05,-0.09,0.01
AL,2020-02-16,0,-0.21,0.03,-0.04,-0.13,-0.01
AL,2020-02-17,0.01,-0.2,0,-0.04,-0.07,0.15
AL,2020-02-18,-0.01,-0.18,-0.01,-0.03,-0.05,0.14
AL,2020-02-19,-0.01,-0.1,-0.01,0.01,-0.02,0.14
AL,2020-02-20,-0.05,-0.23,0.01,-0.11,-0.06,0.1
AL,2020-02-21,0.12,-0.23,0,-0.02,0.07,0.11
AL,2020-02-22,0.09,-0.04,0,-0.09,0.04,-0.05
AL,2020-02-23,0.06,0.18,0.01,-0.08,-0.15,-0.03
AL,2020-02-24,-0.15,0.5,0.06,-0.24,-0.36,-0.55
AL,2020-02-25,-0.3,0.44,0.05,-0.31,-0.31,-0.62
AL,2020-02-26,-0.19,-0.1,0.03,-0.23,-0.2,-0.39
AL,2020-02-27,-0.05,-0.15,0.01,-0.1,-0.05,0.07
AL,2020-02-28,0,-0.3,0.02,-0.1,-0.1,0.11
AL,2020-02-29,0.04,-0.3,0.03,-0.07,-0.1,0.02
AL,2020-03-01,0.01,-0.32,0.05,-0.12,-0.06,-0.02
AL,2020-03-02,0.02,-0.26,0,-0.06,-0.03,0.15
AL,2020-03-03,0,-0.22,0,-0.04,-0.04,0.14
AL,2020-03-04,-0.01,-0.18,0,-0.02,-0.05,0.15
AL,2020-03-05,0.01,-0.13,-0.01,-0.04,-0.04,0.15
AL,2020-03-06,0.06,-0.21,0,-0.01,-0.01,0.18
AL,2020-03-07,0.08,-0.22,0.01,0,-0.07,0.04
AL,2020-03-08,0.05,-0.21,0.03,0.02,-0.13,0.01
AL,2020-03-09,0.03,-0.16,0,-0.04,-0.04,0.16
AL,2020-03-10,0.02,-0.16,-0.01,-0.02,-0.03,0.15
AL,2020-03-11,-0.02,-0.15,-0.01,-0.01,-0.02,0.15
AL,2020-03-12,-0.04,-0.14,0,-0.05,-0.05,0.14
AL,2020-03-13,-0.01,-0.27,0,-0.05,-0.05,0.17
AL,2020-03-14,0.02,-0.27,0.02,-0.06,-0.08,0.04
AL,2020-03-15,-0.04,-0.37,0.04,-0.17,-0.2,-0.03
AL,2020-03-16,-0.02,-0.31,0.01,-0.13,-0.12,0.12
AL,2020-03-17,0,-0.26,0.01,-0.14,-0.11,0.08
AL,2020-03-18,-0.09,-0.36,0.06,-0.23,-0.21,-0.07
AL,2020-03-19,-0.07,-0.25,0.06,-0.25,-0.22,-0.07
AL,2020-03-20,0.01,-0.42,0.08,-0.31,-0.26,-0.09
AL,2020-03-21,-0.18,-0.61,0.13,-0.65,-0.41,-0.29
AL,2020-03-22,-0.35,-0.73,0.15,-0.75,-0.56,-0.31
AL,2020-03-23,-0.34,-0.64,0.18,-0.71,-0.59,-0.46
AL,2020-03-24,-0.4,-0.64,0.18,-0.73,-0.64,-0.51
AL,2020-03-25,-0.37,-0.62,0.18,-0.71,-0.64,-0.5
AL,2020-03-26,-0.35,-0.57,0.17,-0.69,-0.65,-0.49
AL,2020-03-27,-0.35,-0.66,0.2,-0.71,-0.68,-0.47
AL,2020-03-28,-0.32,-0.67,0.16,-0.7,-0.69,-0.38
AL,2020-03-29,-0.43,-0.79,0.17,-0.77,-0.76,-0.35
AL,2020-03-30,-0.25,-0.6,0.16,-0.63,-0.65,-0.42
AL,2020-03-31,-0.23,-0.57,0.15,-0.61,-0.62,-0.42
AL,2020-04-01,-0.23,-0.55,0.15,-0.6,-0.61,-0.42
AL,2020-04-02,-0.23,-0.54,0.16,-0.62,-0.64,-0.42
AL,2020-04-03,-0.2,-0.61,0.17,-0.63,-0.64,-0.38
AL,2020-04-04,-0.18,-0.64,0.13,-0.64,-0.68,-0.31
AL,2020-04-05,-0.27,-0.68,0.14,-0.69,-0.71,-0.26
AL,2020-04-06,-0.15,-0.57,0.15,-0.59,-0.63,-0.37
AL,2020-04-07,-0.09,-0.52,0.13,-0.55,-0.58,-0.37
AL,2020-04-08,-0.05,-0.47,0.13,-0.54,-0.59,-0.37
AL,2020-04-09,0.07,-0.42,0.12,-0.53,-0.58,-0.4
AL,2020-04-10,-0.42,-0.62,0.18,-0.77,-0.76,-0.63
AL,2020-04-11,-0.14,-0.59,0.13,-0.62,-0.69,-0.34
AL,2020-04-12,-0.21,-0.64,0.12,-0.67,-0.68,-0.22
AL,2020-04-13,-0.17,-0.53,0.14,-0.56,-0.62,-0.35
AL,2020-04-14,-0.2,-0.51,0.14,-0.56,-0.62,-0.36
AL,2020-04-15,-0.18,-0.48,0.14,-0.55,-0.6,-0.35
AL,2020-04-16,-0.2,-0.48,0.15,-0.61,-0.61,-0.37
AL,2020-04-17,-0.14,-0.54,0.16,-0.6,-0.58,-0.33
AL,2020-04-18,-0.19,-0.6,0.12,-0.64,-0.65,-0.28
AL,2020-04-19,-0.28,-0.66,0.13,-0.7,-0.7,-0.23
AL,2020-04-20,-0.15,-0.49,0.14,-0.58,-0.6,-0.35
AL,2020-04-21,-0.37,-0.53,0.18,-0.69,-0.71,-0.57
AL,2020-04-22,-0.22,-0.49,0.13,-0.58,-0.59,-0.33
AL,2020-04-23,-0.22,-0.45,0.14,-0.59,-0.63,-0.34
AL,2020-04-24,-0.26,-0.59,0.16,-0.64,-0.63,-0.33
AL,2020-04-25,-0.2,-0.61,0.13,-0.62,-0.65,-0.25
AL,2020-04-26,-0.38,-0.74,0.15,-0.73,-0.74,-0.28
AL,2020-04-27,-0.2,-0.53,0.14,-0.59,-0.61,-0.31
AL,2020-04-28,-0.21,-0.51,0.11,-0.58,-0.61,-0.34
AL,2020-04-29,-0.19,-0.47,0.13,-0.56,-0.57,-0.33
AL,2020-04-30,-0.14,-0.5,0.13,-0.54,-0.57,-0.34
AL,2020-05-01,-0.34,-0.64,0.21,-0.74,-0.72,-0.6
AL,2020-05-02,-0.15,-0.62,0.13,-0.6,-0.64,-0.28
AM,2020-02-15,0.07,-0.02,-0.01,0.09,0.1,0.06
AM,2020-02-16,0.05,-0.1,0.01,0.04,0.11,0.01
AM,2020-02-17,0.01,0,-0.01,-0.02,0.12,0.16
AM,2020-02-18,0,0.07,-0.02,-0.01,0.13,0.18
AM,2020-02-19,-0.03,-0.05,-0.01,-0.04,0.1,0.15
AM,2020-02-20,0.02,0,-0.01,0.01,0.12,0.16
AM,2020-02-21,0.04,-0.02,-0.02,0.05,0.13,0.16
AM,2020-02-22,0.03,-0.11,0.01,-0.01,0.05,0.01
AM,2020-02-23,0.03,0.01,0,0.04,0.12,-0.02
AM,2020-02-24,0,0.25,0.06,-0.03,-0.09,-0.35
AM,2020-02-25,-0.22,0.3,0.1,-0.23,-0.16,-0.6
AM,2020-02-26,-0.14,-0.1,0.09,-0.21,-0.17,-0.37
AM,2020-02-27,-0.04,-0.12,0,-0.1,0.04,0.12
AM,2020-02-28,0.02,-0.12,0,-0.04,0.07,0.16
AM,2020-02-29,0.07,-0.13,0.01,-0.02,0.03,0.09
AM,2020-03-01,0.07,-0.12,0.02,-0.05,0.02,0.01
AM,2020-03-02,0.05,-0.05,-0.01,-0.06,0.12,0.16
AM,2020-03-03,0.11,0.06,-0.03,0.01,0.16,0.19
AM,2020-03-04,0.03,-0.06,-0.02,-0.04,0.12,0.17
AM,2020-03-05,0.08,-0.04,-0.02,0.02,0.15,0.17
AM,2020-03-06,0.11,-0.05,-0.02,0.09,0.17,0.2
AM,2020-03-07,0.18,-0.04,-0.01,0.11,0.14,0.07
AM,2020-03-08,0.13,-0.03,0.01,0.11,0.12,0.04
AM,2020-03-09,0.07,0.05,-0.02,0,0.19,0.19
AM,2020-03-10,0.07,0.06,-0.03,0.01,0.19,0.2
AM,2020-03-11,0.01,0.02,-0.02,-0.04,0.14,0.18
AM,2020-03-12,-0.01,0.01,-0.01,-0.04,0.14,0.18
AM,2020-03-13,0.03,0,-0.02,0.01,0.13,0.2
AM,2020-03-14,-0.01,-0.3,0.03,-0.12,-0.06,0.02
AM,2020-03-15,0.09,-0.1,0.02,-0.06,0.03,0.02
AM,2020-03-16,0.05,-0.04,-0.01,-0.07,0.09,0.16
AM,2020-03-17,0.06,-0.08,0.02,-0.13,-0.03,0.06
AM,2020-03-18,0,-0.2,0.05,-0.21,-0.09,-0.03
AM,2020-03-19,-0.12,-0.34,0.09,-0.34,-0.23,-0.1
AM,2020-03-20,0.03,-0.27,0.08,-0.25,-0.19,-0.09
AM,2020-03-21,0.02,-0.43,0.09,-0.4,-0.25,-0.12
AM,2020-03-22,-0.15,-0.6,0.1,-0.6,-0.39,-0.23
AM,2020-03-23,-0.22,-0.55,0.15,-0.59,-0.43,-0.34
AM,2020-03-24,-0.17,-0.44,0.12,-0.57,-0.4,-0.33
AM,2020-03-25,-0.25,-0.52,0.16,-0.61,-0.46,-0.39
AM,2020-03-26,-0.26,-0.5,0.16,-0.6,-0.45,-0.39
AM,2020-03-27,-0.22,-0.51,0.16,-0.56,-0.42,-0.37
AM,2020-03-28,-0.21,-0.56,0.13,-0.59,-0.42,-0.32
AM,2020-03-29,-0.28,-0.62,0.13,-0.64,-0.46,-0.26
AM,2020-03-30,-0.23,-0.52,0.16,-0.57,-0.46,-0.4
AM,2020-03-31,-0.17,-0.5,0.15,-0.54,-0.45,-0.38
AM,2020-04-01,-0.05,-0.47,0.15,-0.49,-0.41,-0.39
AM,2020-04-02,-0.09,-0.45,0.16,-0.49,-0.41,-0.4
AM,2020-04-03,-0.06,-0.46,0.16,-0.47,-0.35,-0.37
AM,2020-04-04,-0.09,-0.55,0.14,-0.55,-0.38,-0.33
AM,2020-04-05,-0.21,-0.63,0.13,-0.64,-0.47,-0.29
AM,2020-04-06,-0.12,-0.51,0.16,-0.55,-0.43,-0.41
AM,2020-04-07,-0.07,-0.46,0.14,-0.51,-0.4,-0.41
AM,2020-04-08,-0.17,-0.53,0.16,-0.56,-0.47,-0.44
AM,2020-04-09,-0.09,-0.5,0.17,-0.53,-0.44,-0.47
AM,2020-04-10,-0.36,-0.59,0.26,-0.71,-0.6,-0.7
AM,2020-04-11,-0.19,-0.63,0.18,-0.63,-0.5,-0.41
AM,2020-04-12,-0.23,-0.66,0.13,-0.66,-0.51,-0.29
AM,2020-04-13,-0.21,-0.52,0.17,-0.58,-0.45,-0.43
AM,2020-04-14,-0.2,-0.48,0.17,-0.56,-0.46,-0.43
AM,2020-04-15,-0.19,-0.53,0.18,-0.57,-0.46,-0.44
AM,2020-04-16,-0.21,-0.53,0.19,-0.57,-0.45,-0.44
AM,2020-04-17,-0.16,-0.53,0.2,-0.56,-0.43,-0.42
AM,2020-04-18,-0.18,-0.61,0.16,-0.64,-0.45,-0.35
AM,2020-04-19,-0.25,-0.65,0.14,-0.69,-0.49,-0.3
AM,2020-04-20,-0.14,-0.51,0.18,-0.58,-0.43,-0.48
AM,2020-04-21,-0.29,-0.51,0.21,-0.69,-0.56,-0.63
AM,2020-04-22,-0.16,-0.54,0.16,-0.58,-0.42,-0.42
AM,2020-04-23,-0.19,-0.52,0.17,-0.59,-0.44,-0.43
AM,2020-04-24,-0.21,-0.55,0.18,-0.6,-0.43,-0.41
AM,2020-04-25,-0.26,-0.65,0.17,-0.68,-0.5,-0.36
AM,2020-04-26,-0.18,-0.64,0.14,-0.67,-0.45,-0.27
AM,2020-04-27,-0.13,-0.5,0.17,-0.56,-0.4,-0.39
AM,2020-04-28,-0.12,-0.47,0.13,-0.56,-0.41,-0.39
AM,2020-04-29,-0.11,-0.5,0.16,-0.56,-0.39,-0.4
AM,2020-04-30,-0.01,-0.44,0.15,-0.5,-0.36,-0.39
AM,2020-05-01,-0.18,-0.54,0.23,-0.65,-0.52,-0.63
AM,2020-05-02,-0.12,-0.6,0.15,-0.6,-0.44,-0.35
AP,2020-02-15,0.06,-0.1,0,0.11,-0.03,0.04
AP,2020-02-16,0.05,0.02,0.01,0.08,0.06,0.02
AP,2020-02-17,0.05,0.11,0,0.02,0,0.11
AP,2020-02-18,0.01,0.05,0,-0.01,-0.01,0.12
AP,2020-02-19,0.01,-0.01,0,-0.03,-0.12,0.07
AP,2020-02-20,-0.03,-0.11,0.01,-0.02,-0.1,0.07
AP,2020-02-21,0.12,0.08,0,0.09,-0.01,0.08
AP,2020-02-22,0.05,0.03,0.01,0.03,-0.11,-0.02
AP,2020-02-23,0.06,0.15,-0.01,0.18,-0.4,0
AP,2020-02-24,0.03,0,0.06,-0.07,-0.54,-0.36
AP,2020-02-25,-0.39,0.04,0.07,-0.08,-0.24,-0.62
AP,2020-02-26,-0.1,-0.03,0.07,-0.2,-0.22,-0.33
AP,2020-02-27,0,-0.04,0.01,-0.03,-0.06,0.08
AP,2020-02-28,0.13,-0.01,0,0.07,-0.14,0.11
AP,2020-02-29,0.11,-0.08,0.02,0.09,-0.14,0.07
AP,2020-03-01,0.06,-0.06,0.03,-0.01,-0.03,0.01
AP,2020-03-02,0.13,-0.07,-0.01,0,-0.09,0.13
AP,2020-03-03,0.09,-0.05,-0.01,-0.01,-0.08,0.12
AP,2020-03-04,0.08,0,-0.02,0.01,-0.25,0.1
AP,2020-03-05,0.07,0,0,0.07,0.02,0.11
AP,2020-03-06,0.15,0.01,-0.01,0.12,-0.03,0.15
AP,2020-03-07,0.16,-0.1,0.01,0.13,-0.03,0.08
AP,2020-03-08,0.19,0.11,0.02,0.21,-0.11,0.05
AP,2020-03-09,0.08,-0.04,0,-0.02,-0.07,0.15
AP,2020-03-10,0.14,-0.04,-0.01,0.04,-0.08,0.17
AP,2020-03-11,0.07,-0.02,-0.02,0,-0.28,0.11
AP,2020-03-12,0.05,0.02,-0.01,0.04,-0.03,0.13
AP,2020-03-13,0.09,0,-0.01,0.09,-0.06,0.15
AP,2020-03-14,0.13,-0.14,0.01,0.03,-0.08,0.09
AP,2020-03-15,0.13,-0.3,0.04,-0.14,-0.02,-0.02
AP,2020-03-16,0.19,-0.03,0.01,-0.1,-0.08,0.1
AP,2020-03-17,0.16,-0.1,0.03,-0.18,-0.13,0.04
AP,2020-03-18,0.12,-0.16,0.06,-0.24,-0.26,-0.13
AP,2020-03-19,-0.11,-0.35,0.16,-0.5,-0.24,-0.51
AP,2020-03-20,0.14,-0.46,0.14,-0.45,-0.35,-0.36
AP,2020-03-21,-0.21,-0.6,0.17,-0.75,-0.43,-0.43
AP,2020-03-22,-0.29,-0.6,0.15,-0.75,-0.53,-0.32
AP,2020-03-23,-0.26,-0.53,0.18,-0.73,-0.51,-0.5
AP,2020-03-24,-0.31,-0.5,0.19,-0.73,-0.64,-0.54
AP,2020-03-25,-0.28,-0.44,0.18,-0.71,-0.68,-0.55
AP,2020-03-26,-0.31,-0.51,0.18,-0.71,-0.53,-0.53
AP,2020-03-27,-0.28,-0.49,0.18,-0.69,-0.65,-0.5
AP,2020-03-28,-0.29,-0.55,0.15,-0.71,-0.68,-0.41
AP,2020-03-29,-0.27,-0.51,0.11,-0.71,-0.73,-0.28
AP,2020-03-30,-0.23,-0.49,0.17,-0.67,-0.65,-0.49
AP,2020-03-31,-0.15,-0.45,0.16,-0.63,-0.67,-0.46
AP,2020-04-01,-0.12,-0.39,0.16,-0.62,-0.66,-0.48
AP,2020-04-02,-0.17,-0.48,0.17,-0.6,-0.62,-0.48
AP,2020-04-03,-0.16,-0.48,0.18,-0.62,-0.65,-0.45
AP,2020-04-04,-0.13,-0.47,0.13,-0.62,-0.7,-0.35
AP,2020-04-05,-0.22,-0.53,0.11,-0.7,-0.73,-0.28
AP,2020-04-06,-0.14,-0.39,0.15,-0.58,-0.69,-0.43
AP,2020-04-07,-0.13,-0.39,0.14,-0.57,-0.71,-0.43
AP,2020-04-08,-0.11,-0.38,0.14,-0.57,-0.69,-0.46
AP,2020-04-09,0,-0.3,0.14,-0.52,-0.6,-0.48
AP,2020-04-10,-0.57,-0.53,0.22,-0.77,-0.78,-0.71
AP,2020-04-11,-0.05,-0.46,0.14,-0.59,-0.77,-0.35
AP,2020-04-12,-0.22,-0.56,0.12,-0.7,-0.85,-0.26
AP,2020-04-13,-0.2,-0.38,0.17,-0.59,-0.74,-0.43
AP,2020-04-14,-0.19,-0.45,0.17,-0.59,-0.77,-0.43
AP,2020-04-15,-0.18,-0.37,0.17,-0.58,-0.75,-0.45
AP,2020-04-16,-0.19,-0.38,0.18,-0.58,-0.69,-0.46
AP,2020-04-17,-0.09,-0.35,0.18,-0.54,-0.7,-0.41
AP,2020-04-18,-0.17,-0.46,0.15,-0.62,-0.76,-0.31
AP,2020-04-19,-0.21,-0.48,0.13,-0.69,-0.82,-0.24
AP,2020-04-20,-0.16,-0.4,0.16,-0.58,-0.77,-0.43
AP,2020-04-21,-0.24,-0.43,0.19,-0.66,-0.79,-0.57
AP,2020-04-22,-0.14,-0.37,0.15,-0.56,-0.72,-0.42
AP,2020-04-23,-0.15,-0.33,0.16,-0.56,-0.67,-0.42
AP,2020-04-24,-0.1,-0.38,0.16,-0.55,-0.69,-0.4
AP,2020-04-25,-0.15,-0.45,0.13,-0.61,-0.75,-0.3
AP,2020-04-26,-0.23,-0.54,0.14,-0.69,-0.8,-0.25
AP,2020-04-27,-0.13,-0.39,0.17,-0.57,-0.73,-0.4
AP,2020-04-28,-0.1,-0.42,0.14,-0.57,-0.73,-0.41
AP,2020-04-29,-0.16,-0.43,0.18,-0.62,-0.76,-0.46
AP,2020-04-30,0,-0.39,0.16,-0.53,-0.64,-0.43
AP,2020-05-01,-0.24,-0.54,0.23,-0.72,-0.75,-0.64
AP,2020-05-02,-0.13,-0.52,0.16,-0.63,-0.75,-0.33
BA,2020-02-15,0.01,-0.17,0.01,-0.01,0,0.05
BA,2020-02-16,-0.01,-0.11,0.02,-0.04,-0.03,0
BA,2020-02-17,-0.02,-0.22,0.01,-0.04,0.04,0.14
BA,2020-02-18,-0.02,-0.18,0.01,-0.03,0.04,0.12
BA,2020-02-19,-0.04,-0.12,0.01,-0.02,0.01,0.12
BA,2020-02-20,0.03,0.03,0,0.04,0.05,0.08
BA,2020-02-21,0.05,-0.02,0.02,-0.01,0,-0.03
BA,2020-02-22,0.02,0.15,0,-0.04,0.06,-0.09
BA,2020-02-23,0.05,0.35,0.01,0.05,-0.04,-0.06
BA,2020-02-24,-0.17,0.58,0.08,-0.17,-0.28,-0.52
BA,2020-02-25,-0.33,0.56,0.06,-0.26,-0.3,-0.61
BA,2020-02-26,-0.15,0.06,0.04,-0.17,-0.17,-0.27
BA,2020-02-27,-0.04,-0.07,0.01,-0.07,-0.04,0.1
BA,2020-02-28,0,-0.21,0.02,-0.07,-0.07,0.11
BA,2020-02-29,0.01,-0.29,0.04,-0.09,-0.11,0.03
BA,2020-03-01,-0.01,-0.28,0.05,-0.13,-0.12,0
BA,2020-03-02,0.02,-0.24,0.01,-0.06,0.04,0.17
BA,2020-03-03,0,-0.19,0,-0.05,0.02,0.15
BA,2020-03-04,-0.02,-0.13,0.01,-0.04,0.02,0.18
BA,2020-03-05,-0.01,-0.14,0,-0.03,0.04,0.18
BA,2020-03-06,0,-0.3,0.01,-0.06,0.02,0.16
BA,2020-03-07,0.02,-0.33,0.04,-0.04,-0.07,0.03
BA,2020-03-08,-0.02,-0.35,0.05,-0.11,-0.12,0
BA,2020-03-09,-0.01,-0.27,0.01,-0.07,0.04,0.17
BA,2020-03-10,0,-0.24,0,-0.06,0.03,0.15
BA,2020-03-11,-0.04,-0.16,0,-0.05,0.04,0.18
BA,2020-03-12,-0.05,-0.2,0.01,-0.07,0.01,0.17
BA,2020-03-13,0,-0.25,0.01,-0.06,0,0.17
BA,2020-03-14,0,-0.31,0.03,-0.08,-0.08,0.05
BA,2020-03-15,-0.04,-0.34,0.05,-0.18,-0.17,0
BA,2020-03-16,0.01,-0.3,0.02,-0.13,-0.05,0.14
BA,2020-03-17,0.01,-0.29,0.03,-0.17,-0.16,0.07
BA,2020-03-18,-0.03,-0.3,0.07,-0.25,-0.23,-0.03
BA,2020-03-19,-0.08,-0.38,0.09,-0.33,-0.3,-0.13
BA,2020-03-20,-0.09,-0.51,0.11,-0.4,-0.42,-0.18
BA,2020-03-21,-0.22,-0.64,0.14,-0.6,-0.56,-0.28
BA,2020-03-22,-0.4,-0.72,0.16,-0.73,-0.68,-0.34
BA,2020-03-23,-0.33,-0.66,0.18,-0.67,-0.63,-0.43
