region,date,grocery_pharmacy,parks,residential,retail_recreation,transitstations,workplace
BA,2020-03-24,-0.41,-0.65,0.19,-0.71,-0.67,-0.51
BA,2020-03-25,-0.4,-0.61,0.2,-0.71,-0.67,-0.5
BA,2020-03-26,-0.41,-0.6,0.2,-0.7,-0.68,-0.5
BA,2020-03-27,-0.35,-0.65,0.21,-0.69,-0.67,-0.48
BA,2020-03-28,-0.36,-0.67,0.19,-0.7,-0.68,-0.42
BA,2020-03-29,-0.42,-0.71,0.17,-0.73,-0.73,-0.33
BA,2020-03-30,-0.32,-0.61,0.19,-0.62,-0.64,-0.43
BA,2020-03-31,-0.26,-0.56,0.17,-0.6,-0.63,-0.43
BA,2020-04-01,-0.27,-0.53,0.17,-0.59,-0.62,-0.41
BA,2020-04-02,-0.26,-0.51,0.17,-0.59,-0.63,-0.41
BA,2020-04-03,-0.23,-0.58,0.19,-0.6,-0.62,-0.39
BA,2020-04-04,-0.24,-0.62,0.17,-0.63,-0.63,-0.35
BA,2020-04-05,-0.33,-0.68,0.16,-0.7,-0.71,-0.31
BA,2020-04-06,-0.26,-0.6,0.18,-0.59,-0.65,-0.39
BA,2020-04-07,-0.14,-0.52,0.15,-0.53,-0.58,-0.38
BA,2020-04-08,-0.12,-0.46,0.15,-0.52,-0.57,-0.36
BA,2020-04-09,-0.01,-0.44,0.14,-0.49,-0.57,-0.38
BA,2020-04-10,-0.56,-0.65,0.23,-0.79,-0.76,-0.69
BA,2020-04-11,-0.27,-0.64,0.17,-0.64,-0.68,-0.4
BA,2020-04-12,-0.33,-0.68,0.15,-0.69,-0.71,-0.3
BA,2020-04-13,-0.28,-0.62,0.18,-0.59,-0.63,-0.38
BA,2020-04-14,-0.25,-0.56,0.16,-0.56,-0.61,-0.37
BA,2020-04-15,-0.24,-0.51,0.17,-0.55,-0.6,-0.35
BA,2020-04-16,-0.22,-0.47,0.16,-0.55,-0.59,-0.35
BA,2020-04-17,-0.2,-0.56,0.18,-0.57,-0.59,-0.34
BA,2020-04-18,-0.25,-0.63,0.16,-0.63,-0.61,-0.31
BA,2020-04-19,-0.34,-0.68,0.16,-0.7,-0.7,-0.28
BA,2020-04-20,-0.2,-0.56,0.17,-0.55,-0.61,-0.37
BA,2020-04-21,-0.49,-0.62,0.22,-0.74,-0.75,-0.64
BA,2020-04-22,-0.2,-0.48,0.15,-0.53,-0.57,-0.32
BA,2020-04-23,-0.29,-0.53,0.17,-0.59,-0.63,-0.35
BA,2020-04-24,-0.22,-0.59,0.18,-0.58,-0.6,-0.33
BA,2020-04-25,-0.23,-0.62,0.16,-0.6,-0.61,-0.28
BA,2020-04-26,-0.36,-0.68,0.16,-0.7,-0.7,-0.26
BA,2020-04-27,-0.24,-0.58,0.17,-0.55,-0.6,-0.31
BA,2020-04-28,-0.19,-0.52,0.12,-0.52,-0.56,-0.32
BA,2020-04-29,-0.21,-0.49,0.15,-0.53,-0.57,-0.3
BA,2020-04-30,-0.05,-0.42,0.13,-0.46,-0.51,-0.28
BA,2020-05-01,-0.44,-0.61,0.23,-0.73,-0.73,-0.62
BA,2020-05-02,-0.12,-0.57,0.15,-0.57,-0.59,-0.27
CE,2020-02-15,0.02,-0.23,0.01,-0.02,0.01,0.04
CE,2020-02-16,0.02,-0.29,0.03,-0.08,-0.02,-0.01
CE,2020-02-17,-0.04,-0.27,0,-0.09,0.04,0.13
CE,2020-02-18,-0.03,-0.28,0,-0.08,0.03,0.11
CE,2020-02-19,-0.06,-0.27,0,-0.08,0.01,0.1
CE,2020-02-20,0.02,-0.22,0,-0.03,0.02,0.08
CE,2020-02-21,0.1,-0.16,-0.01,-0.05,0.06,0.11
CE,2020-02-22,0.03,-0.18,0.02,-0.22,-0.13,-0.12
CE,2020-02-23,0.01,0.13,0.02,-0.2,-0.19,-0.1
CE,2020-02-24,-0.22,0.55,0.1,-0.33,-0.49,-0.59
CE,2020-02-25,-0.29,0.39,0.08,-0.37,-0.49,-0.65
CE,2020-02-26,-0.19,-0.18,0.07,-0.25,-0.26,-0.35
CE,2020-02-27,-0.06,-0.26,0.01,-0.1,-0.05,0.05
CE,2020-02-28,-0.03,-0.3,0.02,-0.13,-0.06,0.1
CE,2020-02-29,0,-0.39,0.05,-0.14,-0.14,0.02
CE,2020-03-01,0.02,-0.42,0.06,-0.2,-0.16,-0.04
CE,2020-03-02,0,-0.3,0,-0.12,-0.01,0.14
CE,2020-03-03,0.03,-0.27,0,-0.08,0.01,0.11
CE,2020-03-04,-0.02,-0.28,0.01,-0.09,0.01,0.1
CE,2020-03-05,0.03,-0.19,0,-0.03,0.02,0.11
CE,2020-03-06,0.06,-0.22,-0.01,-0.01,0.07,0.13
CE,2020-03-07,0.02,-0.38,0.03,-0.07,-0.05,0.02
CE,2020-03-08,0.06,-0.26,0.03,-0.02,-0.03,0.01
CE,2020-03-09,-0.02,-0.24,0,-0.09,0.03,0.15
CE,2020-03-10,0.02,-0.23,0,-0.06,0.03,0.12
CE,2020-03-11,-0.04,-0.2,0,-0.06,0.01,0.11
CE,2020-03-12,-0.08,-0.28,0,-0.1,-0.01,0.1
CE,2020-03-13,-0.05,-0.33,0.01,-0.12,0.02,0.12
CE,2020-03-14,-0.02,-0.41,0.04,-0.16,-0.11,0.01
CE,2020-03-15,0.01,-0.38,0.05,-0.19,-0.13,-0.02
CE,2020-03-16,0.02,-0.32,0.01,-0.17,-0.06,0.11
CE,2020-03-17,0.08,-0.32,0.03,-0.2,-0.15,0
CE,2020-03-18,0.03,-0.33,0.06,-0.25,-0.23,-0.14
CE,2020-03-19,-0.2,-0.45,0.17,-0.58,-0.56,-0.55
CE,2020-03-20,-0.03,-0.54,0.15,-0.63,-0.44,-0.4
CE,2020-03-21,-0.29,-0.72,0.17,-0.78,-0.6,-0.46
CE,2020-03-22,-0.36,-0.76,0.17,-0.81,-0.63,-0.39
CE,2020-03-23,-0.34,-0.66,0.2,-0.76,-0.68,-0.56
CE,2020-03-24,-0.36,-0.66,0.2,-0.76,-0.7,-0.61
CE,2020-03-25,-0.44,-0.66,0.23,-0.79,-0.76,-0.7
CE,2020-03-26,-0.32,-0.6,0.2,-0.73,-0.69,-0.59
CE,2020-03-27,-0.32,-0.63,0.22,-0.74,-0.68,-0.56
CE,2020-03-28,-0.34,-0.7,0.19,-0.76,-0.68,-0.46
CE,2020-03-29,-0.34,-0.71,0.16,-0.76,-0.68,-0.33
CE,2020-03-30,-0.33,-0.62,0.2,-0.7,-0.67,-0.51
CE,2020-03-31,-0.25,-0.6,0.19,-0.68,-0.67,-0.53
CE,2020-04-01,-0.16,-0.53,0.19,-0.64,-0.64,-0.52
CE,2020-04-02,-0.2,-0.54,0.19,-0.65,-0.65,-0.52
CE,2020-04-03,-0.19,-0.59,0.2,-0.68,-0.64,-0.49
CE,2020-04-04,-0.21,-0.68,0.17,-0.72,-0.65,-0.41
CE,2020-04-05,-0.28,-0.7,0.15,-0.74,-0.66,-0.31
CE,2020-04-06,-0.19,-0.56,0.18,-0.64,-0.62,-0.46
CE,2020-04-07,-0.13,-0.53,0.17,-0.62,-0.61,-0.48
CE,2020-04-08,-0.14,-0.5,0.18,-0.62,-0.62,-0.49
CE,2020-04-09,-0.06,-0.48,0.17,-0.61,-0.62,-0.53
CE,2020-04-10,-0.41,-0.61,0.24,-0.8,-0.76,-0.72
CE,2020-04-11,-0.24,-0.66,0.18,-0.72,-0.66,-0.44
CE,2020-04-12,-0.29,-0.7,0.14,-0.73,-0.67,-0.3
CE,2020-04-13,-0.27,-0.57,0.19,-0.65,-0.64,-0.47
CE,2020-04-14,-0.24,-0.55,0.18,-0.64,-0.63,-0.48
CE,2020-04-15,-0.25,-0.54,0.19,-0.65,-0.64,-0.49
CE,2020-04-16,-0.21,-0.51,0.19,-0.67,-0.63,-0.49
CE,2020-04-17,-0.19,-0.55,0.21,-0.68,-0.62,-0.47
CE,2020-04-18,-0.23,-0.66,0.17,-0.74,-0.62,-0.37
CE,2020-04-19,-0.29,-0.67,0.15,-0.76,-0.65,-0.28
CE,2020-04-20,-0.22,-0.53,0.18,-0.67,-0.62,-0.46
CE,2020-04-21,-0.4,-0.62,0.23,-0.78,-0.75,-0.67
CE,2020-04-22,-0.25,-0.53,0.18,-0.67,-0.62,-0.47
CE,2020-04-23,-0.26,-0.53,0.18,-0.68,-0.63,-0.48
CE,2020-04-24,-0.23,-0.57,0.2,-0.7,-0.63,-0.46
CE,2020-04-25,-0.25,-0.66,0.17,-0.74,-0.63,-0.37
CE,2020-04-26,-0.3,-0.68,0.15,-0.76,-0.66,-0.28
CE,2020-04-27,-0.27,-0.56,0.18,-0.69,-0.63,-0.44
CE,2020-04-28,-0.19,-0.51,0.15,-0.66,-0.61,-0.46
CE,2020-04-29,-0.19,-0.48,0.18,-0.65,-0.61,-0.46
CE,2020-04-30,-0.06,-0.47,0.16,-0.62,-0.6,-0.46
CE,2020-05-01,-0.34,-0.58,0.24,-0.78,-0.73,-0.66
CE,2020-05-02,-0.14,-0.64,0.17,-0.72,-0.63,-0.37
DF,2020-02-15,0.07,-0.08,0,0.1,0.08,0.08
DF,2020-02-16,0.06,-0.1,0.02,0.11,0.04,0
DF,2020-02-17,0.04,-0.01,-0.02,0.02,0.11,0.22
DF,2020-02-18,0.04,0.02,-0.02,0.01,0.14,0.22
DF,2020-02-19,0,-0.03,-0.02,-0.02,0.09,0.2
DF,2020-02-20,0.08,0.15,-0.03,0.04,0.12,0.21
DF,2020-02-21,0.15,-0.01,-0.03,0.07,0.12,0.22
DF,2020-02-22,0.03,-0.13,0,-0.06,-0.03,-0.03
DF,2020-02-23,-0.02,-0.18,0.01,-0.06,-0.06,-0.07
DF,2020-02-24,-0.15,-0.16,0.12,-0.31,-0.34,-0.61
DF,2020-02-25,-0.27,0.14,0.11,-0.39,-0.35,-0.71
DF,2020-02-26,-0.07,-0.14,0.09,-0.2,-0.17,-0.22
DF,2020-02-27,0.05,0.16,-0.01,-0.04,0.05,0.17
DF,2020-02-28,0.07,-0.14,0.01,-0.02,0.04,0.22
DF,2020-02-29,0.07,-0.25,0.04,0.01,-0.05,0.06
DF,2020-03-01,0.14,-0.26,0.05,0.01,-0.04,0.01
DF,2020-03-02,0.01,-0.15,-0.01,-0.03,0.09,0.22
DF,2020-03-03,0.11,0,-0.02,0.04,0.11,0.22
DF,2020-03-04,0.09,0.01,-0.02,0.02,0.1,0.22
DF,2020-03-05,0.1,0.14,-0.03,0.02,0.1,0.22
DF,2020-03-06,0.16,-0.15,-0.03,0.08,0.11,0.25
DF,2020-03-07,0.19,-0.18,0,0.12,0.06,0.08
DF,2020-03-08,0.23,0.03,0.01,0.18,0.06,0.04
DF,2020-03-09,0.13,-0.03,-0.03,0.05,0.15,0.24
DF,2020-03-10,0.14,0.06,-0.04,0.04,0.17,0.23
DF,2020-03-11,0.11,0.01,-0.04,0.02,0.13,0.22
DF,2020-03-12,0.14,0.09,0.02,0,0.03,0.07
DF,2020-03-13,0.17,-0.01,0.02,0.03,0.02,0.08
DF,2020-03-14,0.14,-0.06,0.02,-0.02,-0.02,0.03
DF,2020-03-15,0.13,-0.09,0.03,-0.08,-0.05,-0.01
DF,2020-03-16,0.11,0.1,0.04,-0.1,-0.08,0.01
DF,2020-03-17,0.1,0.04,0.06,-0.18,-0.13,-0.05
DF,2020-03-18,0.12,-0.06,0.11,-0.25,-0.21,-0.13
DF,2020-03-19,0.16,-0.25,0.14,-0.37,-0.3,-0.24
DF,2020-03-20,0.07,-0.44,0.2,-0.56,-0.4,-0.36
DF,2020-03-21,-0.21,-0.66,0.21,-0.7,-0.52,-0.43
DF,2020-03-22,-0.37,-0.77,0.21,-0.75,-0.62,-0.41
DF,2020-03-23,-0.29,-0.59,0.25,-0.68,-0.6,-0.52
DF,2020-03-24,-0.31,-0.62,0.27,-0.71,-0.62,-0.57
DF,2020-03-25,-0.34,-0.62,0.28,-0.71,-0.64,-0.59
DF,2020-03-26,-0.28,-0.56,0.27,-0.69,-0.62,-0.58
DF,2020-03-27,-0.21,-0.54,0.28,-0.66,-0.59,-0.55
DF,2020-03-28,-0.3,-0.66,0.23,-0.7,-0.59,-0.45
DF,2020-03-29,-0.28,-0.63,0.2,-0.68,-0.56,-0.36
DF,2020-03-30,-0.22,-0.46,0.23,-0.6,-0.57,-0.51
DF,2020-03-31,-0.17,-0.42,0.24,-0.61,-0.56,-0.52
DF,2020-04-01,-0.14,-0.41,0.24,-0.59,-0.56,-0.52
DF,2020-04-02,-0.11,-0.35,0.24,-0.59,-0.55,-0.52
DF,2020-04-03,-0.05,-0.42,0.24,-0.58,-0.52,-0.49
DF,2020-04-04,-0.1,-0.53,0.19,-0.61,-0.49,-0.38
DF,2020-04-05,-0.2,-0.62,0.17,-0.64,-0.53,-0.33
DF,2020-04-06,-0.11,-0.42,0.21,-0.55,-0.52,-0.47
DF,2020-04-07,-0.05,-0.43,0.2,-0.54,-0.51,-0.49
DF,2020-04-08,-0.01,-0.45,0.2,-0.53,-0.51,-0.49
DF,2020-04-09,0.2,-0.27,0.17,-0.46,-0.47,-0.49
DF,2020-04-10,-0.29,-0.5,0.27,-0.73,-0.64,-0.76
DF,2020-04-11,0,-0.5,0.16,-0.54,-0.46,-0.38
DF,2020-04-12,-0.18,-0.59,0.13,-0.62,-0.49,-0.28
DF,2020-04-13,-0.14,-0.42,0.19,-0.52,-0.51,-0.46
DF,2020-04-14,-0.15,-0.43,0.2,-0.55,-0.52,-0.47
DF,2020-04-15,-0.13,-0.51,0.23,-0.56,-0.52,-0.48
DF,2020-04-16,-0.08,-0.69,0.24,-0.6,-0.5,-0.49
DF,2020-04-17,0.04,-0.67,0.23,-0.56,-0.42,-0.43
DF,2020-04-18,-0.11,-0.73,0.18,-0.62,-0.4,-0.31
DF,2020-04-19,-0.14,-0.71,0.17,-0.67,-0.4,-0.27
DF,2020-04-20,-0.1,-0.67,0.21,-0.58,-0.46,-0.46
DF,2020-04-21,-0.29,-0.68,0.28,-0.73,-0.59,-0.72
DF,2020-04-22,-0.12,-0.7,0.21,-0.6,-0.46,-0.44
DF,2020-04-23,-0.13,-0.67,0.22,-0.6,-0.47,-0.45
DF,2020-04-24,-0.04,-0.66,0.22,-0.58,-0.41,-0.41
DF,2020-04-25,-0.07,-0.67,0.17,-0.59,-0.35,-0.27
DF,2020-04-26,-0.14,-0.67,0.16,-0.65,-0.38,-0.24
DF,2020-04-27,-0.12,-0.64,0.2,-0.56,-0.43,-0.4
DF,2020-04-28,-0.09,-0.63,0.17,-0.57,-0.41,-0.42
DF,2020-04-29,-0.07,-0.61,0.21,-0.57,-0.41,-0.41
DF,2020-04-30,0.07,-0.5,0.19,-0.53,-0.38,-0.41
DF,2020-05-01,-0.1,-0.57,0.27,-0.72,-0.52,-0.7
DF,2020-05-02,-0.05,-0.64,0.16,-0.59,-0.38,-0.29
ES,2020-02-15,0.04,-0.21,0,-0.01,-0.01,0.07
ES,2020-02-16,-0.03,-0.28,0.03,-0.09,-0.04,-0.02
ES,2020-02-17,0,-0.19,0,-0.05,-0.06,0.23
ES,2020-02-18,-0.02,-0.08,-0.02,-0.03,-0.05,0.23
ES,2020-02-19,-0.02,-0.1,-0.01,-0.02,-0.06,0.21
ES,2020-02-20,0.09,-0.06,-0.02,0.03,0,0.21
ES,2020-02-21,0.14,-0.05,-0.02,-0.02,0.08,0.19
ES,2020-02-22,0.09,0.19,-0.01,-0.04,0.12,-0.06
ES,2020-02-23,0.09,0.34,0.03,-0.01,-0.03,-0.08
ES,2020-02-24,-0.18,1.44,0.09,-0.14,-0.37,-0.58
ES,2020-02-25,-0.43,1.47,0.06,-0.22,-0.35,-0.64
ES,2020-02-26,-0.12,0.31,0.05,-0.15,-0.21,-0.26
ES,2020-02-27,-0.03,-0.17,0.03,-0.12,-0.15,0.11
ES,2020-02-28,0.03,-0.42,0.04,-0.15,-0.19,0.12
ES,2020-02-29,0.08,-0.36,0.04,-0.06,-0.14,0.05
ES,2020-03-01,-0.04,-0.51,0.07,-0.22,-0.19,-0.04
ES,2020-03-02,0.02,-0.39,0.02,-0.13,-0.18,0.17
ES,2020-03-03,0.03,-0.22,-0.01,-0.05,-0.05,0.23
ES,2020-03-04,-0.02,-0.31,0,-0.09,-0.07,0.21
ES,2020-03-05,0.03,-0.33,0,-0.06,-0.02,0.22
ES,2020-03-06,0.12,-0.31,-0.01,-0.03,0.02,0.24
ES,2020-03-07,0.1,-0.52,0.04,-0.05,-0.09,0.05
ES,2020-03-08,0.05,-0.5,0.06,-0.07,-0.15,0.01
ES,2020-03-09,0.06,-0.23,-0.01,-0.03,-0.01,0.25
ES,2020-03-10,0.04,-0.2,-0.01,-0.02,-0.03,0.24
ES,2020-03-11,0,-0.2,-0.01,-0.03,-0.02,0.22
ES,2020-03-12,0,-0.28,0,-0.06,-0.03,0.22
ES,2020-03-13,0.04,-0.31,-0.01,-0.06,-0.01,0.24
ES,2020-03-14,0.07,-0.34,0.02,-0.04,-0.09,0.06
ES,2020-03-15,0.02,-0.35,0.04,-0.14,-0.15,0
ES,2020-03-16,0.08,-0.25,0,-0.12,-0.08,0.21
ES,2020-03-17,0.08,-0.27,0.03,-0.18,-0.21,0.09
ES,2020-03-18,0,-0.31,0.07,-0.24,-0.26,0.01
ES,2020-03-19,0.03,-0.39,0.1,-0.34,-0.34,-0.09
ES,2020-03-20,0.03,-0.52,0.12,-0.43,-0.4,-0.15
ES,2020-03-21,-0.15,-0.75,0.16,-0.66,-0.57,-0.33
ES,2020-03-22,-0.41,-0.83,0.19,-0.76,-0.67,-0.38
ES,2020-03-23,-0.28,-0.66,0.2,-0.67,-0.64,-0.41
ES,2020-03-24,-0.35,-0.64,0.2,-0.68,-0.68,-0.47
ES,2020-03-25,-0.33,-0.61,0.21,-0.67,-0.68,-0.48
ES,2020-03-26,-0.31,-0.6,0.21,-0.66,-0.68,-0.47
ES,2020-03-27,-0.25,-0.62,0.22,-0.65,-0.65,-0.44
ES,2020-03-28,-0.26,-0.68,0.17,-0.68,-0.65,-0.38
ES,2020-03-29,-0.35,-0.69,0.16,-0.68,-0.69,-0.31
ES,2020-03-30,-0.26,-0.54,0.18,-0.6,-0.65,-0.4
ES,2020-03-31,-0.21,-0.53,0.18,-0.58,-0.64,-0.41
ES,2020-04-01,-0.2,-0.56,0.19,-0.58,-0.64,-0.42
ES,2020-04-02,-0.17,-0.53,0.19,-0.56,-0.64,-0.41
ES,2020-04-03,-0.16,-0.58,0.19,-0.59,-0.62,-0.39
ES,2020-04-04,-0.13,-0.66,0.15,-0.61,-0.63,-0.33
ES,2020-04-05,-0.28,-0.72,0.16,-0.67,-0.68,-0.3
ES,2020-04-06,-0.12,-0.5,0.16,-0.49,-0.58,-0.33
ES,2020-04-07,-0.08,-0.42,0.15,-0.46,-0.56,-0.33
ES,2020-04-08,-0.06,-0.54,0.16,-0.48,-0.57,-0.35
ES,2020-04-09,0.1,-0.52,0.16,-0.45,-0.57,-0.38
ES,2020-04-10,-0.46,-0.66,0.27,-0.74,-0.74,-0.71
ES,2020-04-11,-0.05,-0.65,0.14,-0.56,-0.57,-0.3
ES,2020-04-12,-0.26,-0.75,0.14,-0.67,-0.64,-0.27
ES,2020-04-13,-0.18,-0.53,0.16,-0.49,-0.56,-0.31
ES,2020-04-14,-0.19,-0.45,0.16,-0.49,-0.58,-0.32
ES,2020-04-15,-0.17,-0.47,0.17,-0.5,-0.58,-0.32
ES,2020-04-16,-0.12,-0.47,0.17,-0.52,-0.57,-0.32
ES,2020-04-17,-0.05,-0.55,0.18,-0.53,-0.55,-0.3
ES,2020-04-18,-0.11,-0.63,0.13,-0.59,-0.56,-0.24
ES,2020-04-19,-0.21,-0.66,0.14,-0.67,-0.66,-0.25
ES,2020-04-20,-0.37,-0.48,0.21,-0.66,-0.71,-0.61
ES,2020-04-21,-0.46,-0.44,0.21,-0.71,-0.76,-0.68
ES,2020-04-22,-0.1,-0.43,0.14,-0.48,-0.54,-0.27
ES,2020-04-23,-0.14,-0.46,0.16,-0.51,-0.56,-0.28
ES,2020-04-24,-0.12,-0.52,0.16,-0.54,-0.53,-0.25
ES,2020-04-25,-0.13,-0.62,0.13,-0.58,-0.56,-0.2
ES,2020-04-26,-0.24,-0.63,0.14,-0.64,-0.65,-0.22
ES,2020-04-27,-0.18,-0.49,0.15,-0.52,-0.55,-0.24
ES,2020-04-28,-0.17,-0.42,0.12,-0.5,-0.55,-0.26
ES,2020-04-29,-0.16,-0.46,0.15,-0.5,-0.55,-0.26
ES,2020-04-30,0.09,-0.41,0.13,-0.41,-0.5,-0.24
ES,2020-05-01,-0.67,-0.47,0.24,-0.7,-0.74,-0.67
ES,2020-05-02,0.02,-0.55,0.12,-0.52,-0.53,-0.2
GO,2020-02-15,0.05,-0.07,0,0.03,0.04,0.08
GO,2020-02-16,0.02,-0.07,0.01,0.01,0,0.01
GO,2020-02-17,-0.01,-0.06,0,-0.04,0.02,0.18
GO,2020-02-18,-0.02,-0.01,-0.01,-0.01,0.04,0.14
GO,2020-02-19,-0.04,-0.07,0,-0.02,0.01,0.13
GO,2020-02-20,0.04,0.02,-0.01,0.02,0.05,0.13
GO,2020-02-21,0.09,0.02,-0.02,0.02,0.05,0.16
GO,2020-02-22,0.06,0.19,0,-0.03,-0.01,-0.01
GO,2020-02-23,0.06,0.54,0,0.01,-0.06,-0.04
GO,2020-02-24,-0.08,0.45,0.1,-0.22,-0.22,-0.48
GO,2020-02-25,-0.24,0.41,0.1,-0.31,-0.24,-0.63
GO,2020-02-26,-0.1,-0.15,0.05,-0.11,-0.12,-0.11
GO,2020-02-27,-0.01,-0.08,0,-0.07,-0.03,0.1
GO,2020-02-28,0.03,-0.16,0.01,-0.07,-0.05,0.15
GO,2020-02-29,0.04,-0.23,0.04,-0.05,-0.07,0.06
GO,2020-03-01,0.07,-0.15,0.04,-0.02,-0.06,0.03
GO,2020-03-02,0.01,-0.12,0,-0.05,0,0.18
GO,2020-03-03,0.02,-0.04,0,0,0.03,0.14
GO,2020-03-04,0.02,-0.06,-0.01,0.01,0.02,0.14
GO,2020-03-05,0.04,-0.05,-0.01,-0.01,0.02,0.14
GO,2020-03-06,0.11,-0.07,-0.02,0.03,0.06,0.18
GO,2020-03-07,0.14,-0.06,-0.01,0.08,0.06,0.08
GO,2020-03-08,0.12,0,0,0.11,0.03,0.05
GO,2020-03-09,0.06,-0.01,-0.02,0.02,0.07,0.2
GO,2020-03-10,0.06,0.03,-0.02,0.04,0.08,0.16
GO,2020-03-11,0.03,-0.04,-0.02,0.03,0.04,0.15
GO,2020-03-12,0.04,0,-0.01,0.01,0.05,0.13
GO,2020-03-13,0.07,-0.07,-0.01,0,0.03,0.17
GO,2020-03-14,0.07,-0.08,0,-0.02,0,0.07
GO,2020-03-15,0.08,-0.01,0.01,-0.05,-0.03,0.03
GO,2020-03-16,0.07,-0.06,0.02,-0.09,-0.07,0.11
GO,2020-03-17,0.1,-0.09,0.05,-0.13,-0.11,-0.01
GO,2020-03-18,0.06,-0.16,0.08,-0.2,-0.18,-0.08
GO,2020-03-19,0.01,-0.22,0.12,-0.41,-0.26,-0.19
GO,2020-03-20,-0.04,-0.38,0.17,-0.54,-0.38,-0.27
GO,2020-03-21,-0.19,-0.49,0.18,-0.68,-0.47,-0.36
GO,2020-03-22,-0.35,-0.56,0.17,-0.73,-0.57,-0.34
GO,2020-03-23,-0.26,-0.42,0.22,-0.67,-0.53,-0.43
GO,2020-03-24,-0.3,-0.42,0.24,-0.68,-0.56,-0.51
GO,2020-03-25,-0.32,-0.45,0.24,-0.69,-0.58,-0.52
GO,2020-03-26,-0.27,-0.36,0.24,-0.67,-0.53,-0.51
GO,2020-03-27,-0.24,-0.42,0.24,-0.67,-0.53,-0.47
GO,2020-03-28,-0.28,-0.51,0.19,-0.7,-0.54,-0.41
GO,2020-03-29,-0.27,-0.44,0.15,-0.67,-0.5,-0.28
GO,2020-03-30,-0.21,-0.31,0.2,-0.57,-0.47,-0.4
GO,2020-03-31,-0.17,-0.26,0.2,-0.55,-0.45,-0.42
GO,2020-04-01,-0.15,-0.28,0.2,-0.54,-0.45,-0.42
GO,2020-04-02,-0.13,-0.24,0.2,-0.54,-0.44,-0.42
GO,2020-04-03,-0.1,-0.32,0.21,-0.56,-0.44,-0.38
GO,2020-04-04,-0.11,-0.38,0.16,-0.59,-0.41,-0.32
GO,2020-04-05,-0.18,-0.37,0.13,-0.61,-0.45,-0.25
GO,2020-04-06,-0.13,-0.31,0.17,-0.49,-0.43,-0.32
GO,2020-04-07,-0.07,-0.26,0.17,-0.46,-0.39,-0.35
GO,2020-04-08,-0.04,-0.25,0.16,-0.45,-0.38,-0.36
GO,2020-04-09,0.09,-0.14,0.15,-0.42,-0.35,-0.39
GO,2020-04-10,-0.28,-0.3,0.26,-0.7,-0.51,-0.7
GO,2020-04-11,-0.04,-0.32,0.13,-0.56,-0.39,-0.35
GO,2020-04-12,-0.17,-0.36,0.08,-0.59,-0.41,-0.22
GO,2020-04-13,-0.14,-0.28,0.15,-0.47,-0.39,-0.3
GO,2020-04-14,-0.18,-0.35,0.17,-0.5,-0.44,-0.35
GO,2020-04-15,-0.13,-0.32,0.17,-0.48,-0.41,-0.34
GO,2020-04-16,-0.12,-0.32,0.18,-0.49,-0.42,-0.35
GO,2020-04-17,-0.08,-0.36,0.19,-0.51,-0.42,-0.31
GO,2020-04-18,-0.13,-0.47,0.15,-0.59,-0.44,-0.26
GO,2020-04-19,-0.16,-0.44,0.13,-0.62,-0.46,-0.21
GO,2020-04-20,-0.1,-0.28,0.16,-0.46,-0.41,-0.33
GO,2020-04-21,-0.29,-0.33,0.23,-0.65,-0.51,-0.63
GO,2020-04-22,-0.13,-0.31,0.15,-0.42,-0.39,-0.26
GO,2020-04-23,-0.1,-0.27,0.16,-0.42,-0.36,-0.27
GO,2020-04-24,-0.07,-0.32,0.16,-0.45,-0.36,-0.23
GO,2020-04-25,-0.07,-0.36,0.13,-0.49,-0.33,-0.17
GO,2020-04-26,-0.13,-0.35,0.11,-0.55,-0.37,-0.14
GO,2020-04-27,-0.11,-0.25,0.15,-0.41,-0.35,-0.19
GO,2020-04-28,-0.09,-0.22,0.12,-0.39,-0.32,-0.23
GO,2020-04-29,-0.08,-0.23,0.15,-0.38,-0.33,-0.23
