state,date_start,date_end,age_band,M_obs,CL_obs,CU_obs,round,18plus,sample_size
MO,20/04/2020,26/04/2020,overall,2.7,1.7,3.9,1,,1882
MO,20/04/2020,26/04/2020,0-18,1.4,0,4.1,1,,158
MO,20/04/2020,26/04/2020,19-49,3.4,1.4,5.5,1,,394
MO,20/04/2020,26/04/2020,50-64,2,0.5,3.8,1,,405
MO,20/04/2020,26/04/2020,65+,3.2,1.9,4.6,1,,925
MN,30/04/2020,12/05/2020,overall,2.4,1,4.5,1,,860
MN,30/04/2020,12/05/2020,0-18,5.8,0,14.3,1,,49
MN,30/04/2020,12/05/2020,19-49,2.3,0.8,4.2,1,,370
MN,30/04/2020,12/05/2020,50-64,0.7,0,2.8,1,,239
MN,30/04/2020,12/05/2020,65+,1,0,3.2,1,,202
UT,20/04/2020,03/05/2020,overall,2.2,1.2,3.4,1,1,1138
UT,20/04/2020,03/05/2020,0-18,0,0,0,1,1,25
UT,20/04/2020,03/05/2020,19-49,1.8,0.6,3.5,1,1,470
UT,20/04/2020,03/05/2020,50-64,2.9,0.9,5.2,1,1,328
UT,20/04/2020,03/05/2020,65+,2.7,0.9,5,1,1,315
NYC,23/03/2020,01/04/2020,overall,6.9,5,8.9,1,,2482
NYC,23/03/2020,01/04/2020,0-18,2.7,0.9,5,1,,311
NYC,23/03/2020,01/04/2020,19-49,8.3,6.2,10.2,1,,909
NYC,23/03/2020,01/04/2020,50-64,6.5,4.3,9.6,1,,455
NYC,23/03/2020,01/04/2020,65+,3.7,2.2,5.2,1,,807
FL,06/04/2020,10/04/2020,overall,1.9,1,3.2,1,,1742
FL,06/04/2020,10/04/2020,0-18,2.4,0,7.8,1,,69
FL,06/04/2020,10/04/2020,19-49,0.9,0.2,2.2,1,,491
FL,06/04/2020,10/04/2020,50-64,2,0.3,4,1,,326
FL,06/04/2020,10/04/2020,65+,3,1.7,4.5,1,,856
LA,01/04/2020,08/04/2020,overall,5.8,3.9,8.2,1,,1186
LA,01/04/2020,08/04/2020,0-18,2.8,0,11.5,1,,33
LA,01/04/2020,08/04/2020,19-49,7.4,4.7,10,1,,619
LA,01/04/2020,08/04/2020,50-64,8.3,4.5,11.9,1,,322
LA,01/04/2020,08/04/2020,65+,4.4,1.5,8,1,,212
WA,23/03/2020,01/04/2020,overall,1.1,0.7,1.9,1,,3264
WA,23/03/2020,01/04/2020,0-18,0.7,0,2.5,1,,219
WA,23/03/2020,01/04/2020,19-49,1.3,0.7,2.3,1,,1213
WA,23/03/2020,01/04/2020,50-64,0.9,0.3,1.9,1,,782
WA,23/03/2020,01/04/2020,65+,1.7,0.9,2.7,1,,1050
CT,26/04/2020,03/05/2020,overall,4.9,3.6,6.5,1,,1431
CT,26/04/2020,03/05/2020,0-18,0.8,0,2.9,1,,219
CT,26/04/2020,03/05/2020,19-49,6.1,3.1,9.3,1,,297
CT,26/04/2020,03/05/2020,50-64,8.1,4.8,11.6,1,,300
CT,26/04/2020,03/05/2020,65+,4.2,2.3,6,1,,615
MO,25/05/2020,30/05/2020,overall,2.8,1.7,4.1,2,,1831
MO,25/05/2020,30/05/2020,0-18,3.4,0.6,7,2,,157
MO,25/05/2020,30/05/2020,19-49,2.4,1.1,4,2,,558
MO,25/05/2020,30/05/2020,50-64,2.2,0.9,3.9,2,,550
MO,25/05/2020,30/05/2020,65+,1.8,0.7,3.3,2,,566
MN,25/05/2020,06/06/2020,overall,2.2,1.4,3.3,2,1,1323
MN,25/05/2020,06/06/2020,0-18,0,0,0,2,1,65
MN,25/05/2020,06/06/2020,19-49,4,2,6.1,2,1,504
MN,25/05/2020,06/06/2020,50-64,2.6,0.8,4.3,2,1,397
MN,25/05/2020,06/06/2020,65+,1.1,0,3,2,1,357
UT,25/05/2020,05/06/2020,overall,1.1,0.6,2.1,2,1,1940
UT,25/05/2020,05/06/2020,0-18,0,0,0,2,1,51
UT,25/05/2020,05/06/2020,19-49,1.2,0.4,2.5,2,1,738
UT,25/05/2020,05/06/2020,50-64,0.8,0.2,2.1,2,1,576
UT,25/05/2020,05/06/2020,65+,1,0.2,2.4,2,1,575
NYC,06/04/2020,16/04/2020,overall,20.9,16.5,25.9,2,,1618
NYC,06/04/2020,16/04/2020,0-18,18.8,4.2,36.7,2,,28
NYC,06/04/2020,16/04/2020,19-49,17.4,14.9,20.1,2,,1130
NYC,06/04/2020,16/04/2020,50-64,25.6,20.2,31.2,2,,341
NYC,06/04/2020,16/04/2020,65+,21.9,13.9,30.7,2,,119
NYC,27/04/2020,06/05/2020,overall,23.2,19.9,26.3,3,,1116
NYC,27/04/2020,06/05/2020,0-18,21.5,15.8,27.1,3,,238
NYC,27/04/2020,06/05/2020,19-49,23.6,17.9,19.2,3,,268
NYC,27/04/2020,06/05/2020,50-64,29.1,21.5,36.5,3,,170
NYC,27/04/2020,06/05/2020,65+,15.8,12,19.4,3,,440
FL,20/04/2020,24/04/2020,overall,2.9,1.9,4.3,2,1,1280
FL,20/04/2020,24/04/2020,0-18,0,0,0,2,1,40
FL,20/04/2020,24/04/2020,19-49,2.6,1.1,4.5,2,1,458
FL,20/04/2020,24/04/2020,50-64,4.7,1.9,8,2,1,237
FL,20/04/2020,24/04/2020,65+,3.8,1.9,5.7,2,1,545
WA,27/04/2020,11/05/2020,overall,2.1,1.2,3.5,2,,1719
WA,27/04/2020,11/05/2020,0-18,0.8,0,4.6,2,,73
WA,27/04/2020,11/05/2020,19-49,2.1,0.8,4.1,2,,392
WA,27/04/2020,11/05/2020,50-64,2.7,1.1,4.8,2,,436
WA,27/04/2020,11/05/2020,65+,1.4,0.6,2.7,2,,818
CT,21/05/2020,26/05/2020,overall,5.2,3.8,6.6,2,,1800
CT,21/05/2020,26/05/2020,0-18,2.9,0,7.5,2,,89
CT,21/05/2020,26/05/2020,19-49,7.1,4.8,9.5,2,,582
CT,21/05/2020,26/05/2020,50-64,5.8,3.7,8,2,,584
CT,21/05/2020,26/05/2020,65+,3.2,1.6,5.1,2,,545
MO,15/06/2020,20/06/2020,overall,0.8,0.6,1.8,3,,1850
MO,15/06/2020,20/06/2020,0-18,1.2,0,3.2,3,,292
MO,15/06/2020,20/06/2020,19-49,1.3,0.4,2.9,3,,540
MO,15/06/2020,20/06/2020,50-64,0,0,0.6,3,,478
MO,15/06/2020,20/06/2020,65+,1.1,0.4,2.6,3,,540
MN,15/06/2020,27/06/2020,overall,4.3,3.4,5.8,3,,1626
MN,15/06/2020,27/06/2020,0-18,0.5,0,3.8,3,,90
MN,15/06/2020,27/06/2020,19-49,6.8,4.7,9,3,,672
MN,15/06/2020,27/06/2020,50-64,5.3,3.2,7.8,3,,448
MN,15/06/2020,27/06/2020,65+,2.8,1.2,4.9,3,,416
UT,25/06/2020,27/06/2020,overall,1.5,0.9,2.6,3,1,1976
UT,25/06/2020,27/06/2020,0-18,0,0,0,3,1,50
UT,25/06/2020,27/06/2020,19-49,2.1,1.1,3.5,3,1,822
UT,25/06/2020,27/06/2020,50-64,0.6,0.2,1.9,3,1,598
UT,25/06/2020,27/06/2020,65+,0,0,1.3,3,1,506
NYC,15/06/2020,21/06/2020,overall,19.5,17.2,21.9,4,,1581
NYC,15/06/2020,21/06/2020,0-18,18.8,14.8,23.1,4,,413
NYC,15/06/2020,21/06/2020,19-49,20.2,16,24.7,4,,404
NYC,15/06/2020,21/06/2020,50-64,20.5,16.1,25,4,,382
NYC,15/06/2020,21/06/2020,65+,15.3,11.5,19.4,4,,382
FL,19/06/2020,27/06/2020,overall,4.2,2.8,6.2,3,,1790
FL,19/06/2020,27/06/2020,0-18,2.2,0,6.4,3,,110
FL,19/06/2020,27/06/2020,19-49,8.1,4.6,11.9,3,,263
FL,19/06/2020,27/06/2020,50-64,1.9,0.5,4,3,,366
FL,19/06/2020,27/06/2020,65+,1.8,1,3,3,,1051
WA,15/06/2020,20/06/2020,overall,1.7,0.9,3.2,3,,1803
WA,15/06/2020,20/06/2020,0-18,2.6,0,7.1,3,,97
WA,15/06/2020,20/06/2020,19-49,2,0.8,3.9,3,,471
WA,15/06/2020,20/06/2020,50-64,0.5,0,1.8,3,,487
WA,15/06/2020,20/06/2020,65+,0.5,0.1,1.7,3,,748
CT,15/06/2020,17/06/2020,overall,6.3,5,7.8,3,,1798
CT,15/06/2020,17/06/2020,0-18,6.1,3.7,8.8,3,,423
CT,15/06/2020,17/06/2020,19-49,8.5,5.7,11.2,3,,470
CT,15/06/2020,17/06/2020,50-64,5.9,3.6,8.6,3,,449
CT,15/06/2020,17/06/2020,65+,2.6,1.1,4.6,3,,456
MO,05/07/2020,09/07/2020,overall,1.4,0.9,2.5,4,,1914
MO,05/07/2020,09/07/2020,0-18,3.1,0.9,6.4,4,,157
MO,05/07/2020,09/07/2020,19-49,1.1,0.4,2.6,4,,590
MO,05/07/2020,09/07/2020,50-64,0.9,0.3,2.4,4,,600
MO,05/07/2020,09/07/2020,65+,0.7,0.2,2,4,,567
MN,06/07/2020,18/07/2020,overall,6.1,4.4,8.3,4,,1677
MN,06/07/2020,18/07/2020,0-18,6.6,1.4,13.8,4,,63
MN,06/07/2020,18/07/2020,19-49,6.8,4.8,9.2,4,,685
MN,06/07/2020,18/07/2020,50-64,5.6,3.5,8.1,4,,504
MN,06/07/2020,18/07/2020,65+,3.3,1.6,5.7,4,,425
UT,06/07/2020,15/07/2020,overall,2.7,1.8,3.9,4,1,1824
UT,06/07/2020,15/07/2020,0-18,0,0,0,4,1,39
UT,06/07/2020,15/07/2020,19-49,3.3,1.9,5,4,1,744
UT,06/07/2020,15/07/2020,50-64,2.2,1,3.9,4,1,525
UT,06/07/2020,15/07/2020,65+,0.8,0.2,2.3,4,1,516
NYC,07/07/2020,11/07/2020,overall,17.6,15.5,20,5,,1602
NYC,07/07/2020,11/07/2020,0-18,20,15.3,24.8,5,,266
NYC,07/07/2020,11/07/2020,19-49,19.1,15.1,23.3,5,,466
NYC,07/07/2020,11/07/2020,50-64,14.2,10.5,18.1,5,,404
NYC,07/07/2020,11/07/2020,65+,14.9,11.5,18.6,5,,466
WA,06/07/2020,07/07/2020,overall,1.3,0.8,2.4,4,1,1797
WA,06/07/2020,07/07/2020,0-18,0,0,0,4,1,36
WA,06/07/2020,07/07/2020,19-49,2.1,0.8,4,4,1,477
WA,06/07/2020,07/07/2020,50-64,1.9,0.8,3.6,4,1,505
WA,06/07/2020,07/07/2020,65+,0.6,0.1,1.7,4,1,779
CT,03/07/2020,06/07/2020,overall,5.2,4,6.7,4,,1802
CT,03/07/2020,06/07/2020,0-18,4.8,1.7,8.9,4,,136
CT,03/07/2020,06/07/2020,19-49,6.6,4.3,9.1,4,,578
CT,03/07/2020,06/07/2020,50-64,5.2,3.2,7.4,4,,545
CT,03/07/2020,06/07/2020,65+,2.5,1.1,4.3,4,,543
NYC,27/07/2020,30/07/2020,overall,18.4,16.1,20.7,6,,1547
NYC,27/07/2020,30/07/2020,0-18,21.2,16.6,26,6,,341
NYC,27/07/2020,30/07/2020,19-49,19.1,14.6,23.4,6,,373
NYC,27/07/2020,30/07/2020,50-64,21.7,17.3,26.1,6,,414
NYC,27/07/2020,30/07/2020,65+,10.4,7.3,13.7,6,,419
CT,27/07/2020,27/07/2020,overall,6.7,5.3,8.4,5,,1799
CT,27/07/2020,27/07/2020,0-18,7,3,11.7,5,,164
CT,27/07/2020,27/07/2020,19-49,7.6,5.2,10.2,5,,537
CT,27/07/2020,27/07/2020,50-64,6.6,4.4,9.1,5,,550
CT,27/07/2020,27/07/2020,65+,3.6,2,5.6,5,,548
MO,27/07/2020,30/07/2020,overall,3.2,2.2,4.5,5,,1931
MO,27/07/2020,30/07/2020,0-18,3,0,7.4,5,,117
MO,27/07/2020,30/07/2020,19-49,5,3.2,7.2,5,,604
MO,27/07/2020,30/07/2020,50-64,2.3,1.1,4,5,,629
MO,27/07/2020,30/07/2020,65+,1.4,0.5,2.9,5,,581
MN,27/07/2020,08/08/2020,overall,8.8,6.6,11.2,5,,1588
MN,27/07/2020,08/08/2020,0-18,13.8,6.6,22.2,5,,87
MN,27/07/2020,08/08/2020,19-49,8.8,6.4,11.5,5,,611
MN,27/07/2020,08/08/2020,50-64,5,3,7.5,5,,485
MN,27/07/2020,08/08/2020,65+,4.6,2.4,7.1,5,,405
UT,27/07/2020,06/08/2020,overall,4.8,3.7,6.2,5,1,1906
UT,27/07/2020,06/08/2020,0-18,0,0,0,5,1,61
UT,27/07/2020,06/08/2020,19-49,5.9,4.2,7.8,5,1,891
UT,27/07/2020,06/08/2020,50-64,3.9,2.2,6,5,1,535
UT,27/07/2020,06/08/2020,65+,3.4,1.6,5.6,5,1,419
WA,27/07/2020,31/07/2020,overall,1.3,0.9,2.4,5,,1718
WA,27/07/2020,31/07/2020,0-18,0.3,0,3.1,5,,110
WA,27/07/2020,31/07/2020,19-49,2.3,1.1,4.1,5,,538
WA,27/07/2020,31/07/2020,50-64,0.9,0.2,2.5,5,,473
WA,27/07/2020,31/07/2020,65+,1.5,0.5,3,5,,597