CASES_EXTRACTED,AGE_LOWER,AGE_UPPER,GENDER
140.62500000000000,0,9,M
421.87500000000100,10,19,M
2039.062500000000,20,29,M
2542.9687500000000,30,39,M
2988.2812500000000,40,49,M
3773.4375,50,59,M
2976.5625000000000,60,69,M
2660.1562500000000,70,79,M
2437.5000000000000,80,89,M
949.2187500000010,90,95,M
141.45383104125700,0,9,F
542.2396856581530,10,19,F
3701.375245579570,20,29,F
4715.127701375240,30,39,F
5457.7603143418500,40,49,F
5905.697445972500,50,59,F
3088.408644400790,60,69,F
2168.958742632610,70,79,F
3335.9528487229900,80,89,F
2180.746561886050,90,95,F