"";"StatePostal";"EmergDec";"GathRecomAny";"GathRestrict10";"GathRestrict100";"GathRestrict1000";"GathRestrict25";"GathRestrict250";"GathRestrict5";"GathRestrict50";"GathRestrict500";"GathRestrictAny";"NEBusinessClose";"OtherBusinessClose";"Quarantine";"RestaurantRestrict";"SchoolClose";"StateCurfew";"StayAtHome";"TravelRestrictExit";"TravelRestrictIntra"
"1";"AK";2020-03-11;2020-03-24;2020-03-24;NA;NA;NA;NA;NA;NA;NA;2020-03-24;2020-03-28;2020-03-17;2020-03-25;2020-03-18;2020-03-16;NA;2020-03-28;NA;2020-03-28
"2";"AL";2020-03-13;2020-03-20;2020-03-28;NA;NA;2020-03-20;NA;NA;NA;NA;2020-03-20;NA;2020-03-20;NA;2020-03-20;2020-03-18;NA;2020-04-04;NA;NA
"3";"AR";2020-03-11;NA;2020-03-27;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-03-19;NA;2020-03-19;2020-03-17;NA;NA;NA;NA
"4";"AZ";2020-03-11;2020-03-20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-03-20;NA;NA;2020-03-16;NA;2020-03-31;NA;NA
"5";"CA";2020-03-04;2020-03-11;NA;NA;NA;NA;2020-03-11;NA;NA;NA;2020-03-11;2020-03-19;2020-03-19;NA;2020-03-15;NA;NA;2020-03-19;NA;NA
"6";"CO";2020-03-10;2020-03-13;2020-03-19;NA;NA;NA;NA;NA;NA;NA;2020-03-19;2020-03-26;2020-03-17;NA;2020-03-17;2020-03-23;NA;2020-03-26;NA;NA
"7";"CT";2020-03-10;2020-03-12;NA;NA;NA;NA;2020-03-12;NA;2020-03-16;NA;2020-03-12;2020-03-23;2020-03-16;NA;2020-03-16;2020-03-17;NA;NA;NA;NA
"8";"DC";2020-03-11;2020-03-13;2020-03-24;NA;NA;NA;2020-03-13;NA;2020-03-16;NA;2020-03-13;2020-03-25;2020-03-17;NA;2020-03-16;2020-03-20;NA;2020-04-01;NA;NA
"9";"DE";2020-03-13;2020-03-13;2020-04-02;NA;NA;NA;NA;NA;2020-03-16;NA;2020-03-16;2020-03-24;2020-03-16;2020-03-30;2020-03-16;2020-03-13;NA;2020-03-24;NA;NA
"10";"FL";2020-03-09;2020-03-17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-03-17;2020-03-24;2020-03-17;2020-03-17;NA;2020-04-03;NA;NA
"11";"GA";2020-03-14;2020-03-24;2020-03-24;NA;NA;NA;NA;NA;NA;NA;2020-03-24;NA;2020-03-24;NA;NA;2020-03-18;NA;2020-04-03;NA;NA
"12";"HI";2020-03-04;2020-03-16;2020-03-17;2020-03-16;NA;NA;NA;NA;NA;NA;2020-03-16;2020-03-25;2020-03-17;2020-03-26;2020-03-17;2020-03-19;NA;2020-03-25;NA;NA
"13";"IA";2020-03-09;2020-03-17;2020-03-17;NA;NA;NA;NA;NA;NA;NA;2020-03-17;NA;2020-03-17;NA;2020-03-17;2020-04-03;NA;NA;NA;NA
"14";"ID";2020-03-13;2020-03-18;NA;NA;NA;NA;NA;NA;NA;NA;2020-03-25;2020-03-25;2020-03-25;NA;2020-03-25;2020-03-23;NA;2020-03-25;NA;NA
"15";"IL";2020-03-09;2020-03-13;NA;NA;2020-03-13;NA;NA;NA;2020-03-18;NA;2020-03-13;2020-03-21;2020-03-21;NA;2020-03-16;2020-03-17;NA;2020-03-21;NA;NA
"16";"IN";2020-03-06;2020-03-16;NA;NA;NA;NA;2020-03-12;NA;NA;NA;2020-03-12;2020-03-24;2020-03-16;NA;2020-03-16;2020-03-19;NA;2020-03-25;NA;NA
"17";"KS";2020-03-12;2020-03-17;2020-03-25;NA;NA;NA;NA;NA;2020-03-17;NA;2020-03-17;NA;NA;NA;NA;2020-03-17;NA;2020-03-30;NA;NA
"18";"KY";2020-03-06;2020-03-11;NA;NA;NA;NA;NA;NA;NA;NA;2020-03-19;2020-03-26;2020-03-18;2020-03-30;2020-03-16;NA;NA;NA;2020-03-30;NA
"19";"LA";2020-03-11;2020-03-13;2020-03-23;NA;NA;NA;2020-03-13;NA;2020-03-17;NA;2020-03-13;2020-03-23;2020-03-17;NA;2020-03-17;2020-03-13;NA;2020-03-23;NA;NA
"20";"MA";2020-03-10;2020-03-13;2020-03-24;NA;NA;2020-03-17;2020-03-13;NA;NA;NA;2020-03-13;2020-03-24;2020-03-23;2020-03-27;2020-03-17;2020-03-17;NA;NA;NA;NA
"21";"MD";2020-03-05;2020-03-16;2020-03-19;NA;NA;NA;NA;NA;2020-03-16;NA;2020-03-16;2020-03-23;2020-03-16;NA;2020-03-16;2020-03-16;NA;2020-03-30;NA;NA
"22";"ME";2020-03-15;2020-03-12;2020-03-18;NA;NA;NA;NA;NA;NA;NA;2020-03-18;2020-03-25;2020-03-25;NA;2020-03-18;2020-04-01;NA;2020-04-01;NA;NA
"23";"MI";2020-03-10;2020-03-13;NA;NA;NA;NA;2020-03-13;NA;2020-03-17;NA;2020-03-13;2020-03-23;2020-03-16;NA;2020-03-16;2020-03-16;NA;2020-03-24;NA;NA
"24";"MN";2020-03-13;2020-03-13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-03-17;NA;2020-03-17;2020-03-18;NA;2020-03-28;NA;NA
"25";"MO";2020-03-13;2020-03-15;2020-03-23;NA;NA;NA;NA;NA;NA;NA;2020-03-23;NA;2020-03-17;NA;2020-03-23;2020-03-23;NA;2020-04-06;NA;NA
"26";"MS";2020-03-14;2020-03-24;2020-03-24;NA;NA;NA;NA;NA;NA;NA;2020-03-24;2020-04-03;NA;NA;2020-03-24;2020-03-19;NA;2020-04-03;NA;NA
"27";"MT";2020-03-12;2020-03-15;2020-03-24;NA;NA;NA;NA;NA;NA;NA;2020-03-24;2020-03-28;2020-03-20;2020-03-30;2020-03-20;2020-03-16;NA;2020-03-28;NA;NA
"28";"NC";2020-03-10;2020-03-12;2020-03-30;2020-03-14;NA;NA;NA;NA;2020-03-25;NA;2020-03-14;2020-03-30;2020-03-25;NA;2020-03-17;2020-03-16;NA;2020-03-30;NA;NA
"29";"ND";2020-03-13;2020-03-12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-03-20;NA;2020-03-20;2020-03-16;NA;NA;NA;NA
"30";"NE";2020-03-13;2020-03-16;2020-03-19;NA;NA;NA;NA;NA;2020-03-16;NA;2020-03-16;NA;NA;NA;2020-03-19;2020-04-03;NA;NA;NA;NA
"31";"NH";2020-03-13;2020-03-16;2020-03-23;NA;NA;NA;NA;NA;2020-03-16;NA;2020-03-16;2020-03-28;NA;NA;2020-03-16;2020-03-16;NA;2020-03-28;NA;NA
"32";"NJ";2020-03-09;2020-03-12;NA;NA;NA;NA;NA;NA;2020-03-16;NA;2020-03-16;2020-03-21;2020-03-16;NA;2020-03-16;2020-03-18;2020-03-16;2020-03-21;NA;NA
"33";"NM";2020-03-11;2020-03-16;2020-03-19;2020-03-16;NA;NA;NA;2020-03-24;NA;NA;2020-03-16;2020-03-24;2020-03-16;2020-03-27;2020-03-19;2020-03-16;NA;NA;NA;NA
"34";"NV";2020-03-12;2020-03-12;2020-03-19;NA;NA;NA;NA;NA;NA;NA;2020-03-19;2020-03-21;2020-03-17;NA;2020-03-17;2020-03-16;NA;2020-03-31;NA;NA
"35";"NY";2020-03-07;2020-03-13;NA;NA;NA;NA;NA;NA;2020-03-16;2020-03-13;2020-03-13;2020-03-20;2020-03-16;NA;2020-03-16;2020-03-18;2020-03-16;2020-03-22;NA;NA
"36";"OH";2020-03-09;2020-03-10;NA;2020-03-12;NA;NA;NA;NA;2020-03-17;NA;2020-03-12;2020-03-24;2020-03-17;NA;2020-03-15;2020-03-16;NA;2020-03-24;NA;NA
"37";"OK";2020-03-15;2020-03-17;2020-03-24;NA;NA;NA;NA;NA;NA;NA;2020-03-24;NA;2020-03-25;NA;2020-03-25;2020-03-17;NA;NA;NA;NA
"38";"OR";2020-03-08;2020-03-16;NA;NA;NA;2020-03-17;2020-03-16;NA;NA;NA;2020-03-16;NA;2020-03-24;NA;2020-03-17;2020-03-16;NA;2020-03-23;NA;NA
"39";"PA";2020-03-06;2020-03-16;NA;NA;NA;NA;NA;NA;2020-03-16;NA;2020-03-16;2020-03-23;2020-03-23;NA;2020-03-17;2020-03-16;NA;2020-04-01;NA;NA
"40";"RI";2020-03-09;2020-03-11;NA;NA;NA;2020-03-17;NA;2020-03-28;NA;NA;2020-03-17;NA;2020-03-16;2020-03-26;2020-03-17;2020-03-23;NA;2020-03-28;NA;NA
"41";"SC";2020-03-13;2020-03-15;NA;NA;NA;NA;NA;NA;2020-03-18;NA;2020-03-18;NA;2020-03-31;2020-03-27;2020-03-18;2020-03-16;NA;2020-04-07;NA;NA
"42";"SD";2020-03-13;2020-03-23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-03-17;NA;NA;NA;NA
"43";"TN";2020-03-12;2020-03-12;2020-03-23;NA;NA;NA;NA;NA;NA;NA;2020-03-23;2020-04-01;2020-03-23;NA;2020-03-23;NA;NA;2020-04-02;NA;NA
"44";"TX";2020-03-13;2020-03-20;2020-03-20;NA;NA;NA;NA;NA;NA;NA;2020-03-20;NA;2020-03-20;2020-03-30;2020-03-20;2020-03-20;NA;2020-04-02;NA;NA
"45";"UT";2020-03-06;2020-03-16;2020-03-18;2020-03-16;NA;NA;NA;NA;NA;NA;2020-03-16;NA;NA;NA;2020-03-18;2020-03-16;NA;NA;NA;NA
"46";"VA";2020-03-12;2020-03-15;2020-03-24;2020-03-15;NA;NA;NA;NA;NA;NA;2020-03-15;NA;2020-03-24;NA;2020-03-17;2020-03-16;NA;2020-03-30;NA;NA
"47";"VT";2020-03-13;2020-03-13;2020-03-20;NA;NA;NA;2020-03-13;NA;2020-03-17;NA;2020-03-13;2020-03-25;2020-03-23;2020-03-30;2020-03-17;2020-03-18;NA;2020-03-24;NA;NA
"48";"WA";2020-02-29;2020-03-11;NA;NA;NA;NA;2020-03-11;NA;2020-03-16;NA;2020-03-11;2020-03-25;2020-03-16;NA;2020-03-16;2020-03-17;NA;2020-03-23;NA;NA
"49";"WI";2020-03-12;2020-03-17;2020-03-17;NA;NA;NA;NA;NA;2020-03-17;NA;2020-03-17;2020-03-25;2020-03-17;NA;2020-03-17;2020-03-18;NA;2020-03-25;NA;NA
"50";"WV";2020-03-16;2020-03-12;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-03-24;2020-03-17;2020-03-31;2020-03-17;2020-03-13;NA;2020-03-24;NA;NA
"51";"WY";2020-03-13;2020-03-20;2020-03-20;NA;NA;NA;NA;NA;NA;NA;2020-03-20;NA;2020-03-19;NA;2020-03-19;2020-03-19;NA;NA;NA;NA
